name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule
Lounge Barcelona,Club nocturno,"Carrer de Còrsega, 257, L'Eixample, 08036 Barcelona",loungebarcelona.com,637148339,Barcelona,Amigable con la comunidad LGTBI+,4.6,38,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Hyde Club Barcelona,Discoteca,"Passatge de Domingo, 3, L'Eixample, 08007 Barcelona",hydebcn.com,654201006,Barcelona,NOT_FOUND,3.8,1754,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The House of Lords,Club nocturno,"Carrer de Mallorca, 184, L'Eixample, 08036 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.8,9,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
DISCO CITY HALL BARCELONA,Discoteca,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,667166789,Barcelona,Amigable con la comunidad LGTBI+,4.0,2612,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The Black Room,Club nocturno,"Rambla de Catalunya, 4, Eixample, 08007 Barcelona",facebook.com,NO_PHONE,Barcelona,NOT_FOUND,3.4,55,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Slow Barcelona,Discoteca,"Carrer de París, 186, L'Eixample, 08036 Barcelona",slowbarcelona.es,933681455,NO_CITY,Menú,4.5,3439,"Cócteles clásicos y personalizados, música en directo y discoteca, en un bar de lujo con decoración inspirada en un bosque.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Topxi music,Club musical,"Carrer de València, 358, L'Eixample, 08029 Barcelona",topximusic.com,NO_PHONE,Barcelona,NOT_FOUND,3.7,272,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Telephone nightbar,Club nocturno,"Carrer d'Aribau, 87, L'Eixample, 08036 Barcelona",instagram.com,NO_PHONE,Barcelona,NOT_FOUND,4.7,92,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
RED58,Club nocturno,"Carrer del Consell de Cent, 280, L'Eixample, 08007 Barcelona",red58.club,NO_PHONE,NO_CITY,NOT_FOUND,4.2,224,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Garage 442,Bar musical,"Av. Diagonal, 442, L'Eixample, 08037 Barcelona",garage442.com,934152231,Barcelona,Amigable con la comunidad LGTBI+,4.3,222,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Illusion Barcelona,Discoteca,"Carrer de Provença, 43, L'Eixample, 08029 Barcelona",illusionbarcelona.com,682277321,Barcelona,Amigable con la comunidad LGTBI+,3.7,811,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
DRIPMONDAY,Club nocturno,"Carrer de Balmes, 32, L'Eixample, 08007 Barcelona",noplans.net,617744798,Barcelona,Reclamar esta empresa,5.0,11,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Chica Club Barcelona,Discoteca,"Carrer del Rosselló, 217, Eixample, 08008 Barcelona",chicabcn.cat,699232543,Barcelona,NOT_FOUND,3.0,144,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Twenties Barcelona,Discoteca,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona",twentiesbarcelona.com,628708158,Barcelona,NOT_FOUND,3.4,2885,"Cócteles y ritmos de reguetón y hip hop en una discoteca que recuerda a una cueva, con noches temáticas y espectáculos de luz.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
SUMMUM Nightbar,Discoteca,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona",twentiesbarcelona.com,628708158,Barcelona,NOT_FOUND,3.4,2885,"Cócteles y ritmos de reguetón y hip hop en una discoteca que recuerda a una cueva, con noches temáticas y espectáculos de luz.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
BLACK BOX,Discoteca,"Carrer de la Diputació, 233, L'Eixample, 08007 Barcelona",blackboxdisco.com,934878342,Barcelona,Servicios,3.7,631,Remezclas de canciones de los 80 y los 90 en discoteca de ambiente mixta con paredes rojas y columnas.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
YouBarcelona - Lista Isaac,Vendedor de entradas para eventos,"Pl. d'Urquinaona, 6, L'Eixample, 08010 Barcelona",youbarcelona.com,627099253,Barcelona,NOT_FOUND,4.9,1301,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Believe Club Barcelona,Discoteca,"Carrer de Balmes, 56, L'Eixample, 08011 Barcelona",thebelieve.club,679115105,Barcelona,Menú,3.5,576,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Punto BCN,Bar gay,"C/ de Muntaner, 65, L'Eixample, 08007 Barcelona",facebook.com,934519152,Barcelona,Amigable con la comunidad LGTBI+,3.9,766,"Bar gay animado y espacioso, con música, eventos, cervezas, cócteles, hora feliz y mesas de billar.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Enigma Music Bar,Club nocturno,"Carrer del Taquígraf Garriga, 106, Les Corts, 08029 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,206,"Bar de moda que ofrece cócteles, cachimbas y pista de baile en un local acogedor.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Trastero,Club nocturno,"Carrer de Villarroel, 174, L'Eixample, 08036 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
Punto BCN,Bar gay,"C/ de Muntaner, 65, L'Eixample, 08007 Barcelona",facebook.com,934519152,Barcelona,Amigable con la comunidad LGTBI+,3.9,766,"Bar gay animado y espacioso, con música, eventos, cervezas, cócteles, hora feliz y mesas de billar.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Azimuth Rooftop Bar,Lounge,"Terraza 8ª Planta, Gran Via de les Corts Catalanes, 619, 621, 08007 Barcelona",almanachotels.com,930187000,Barcelona,Amigable con la comunidad LGTBI+,4.2,411,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Topxi music,Club musical,"Carrer de València, 358, L'Eixample, 08029 Barcelona",topximusic.com,NO_PHONE,Barcelona,NOT_FOUND,3.7,272,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
El Cangrejo Eixample,Bar gay,"Carrer de Villarroel, 88, L'Eixample, 08011 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,130,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
BLACK BOX,Discoteca,"Carrer de la Diputació, 233, L'Eixample, 08007 Barcelona",blackboxdisco.com,934878342,Barcelona,Servicios,3.7,631,Remezclas de canciones de los 80 y los 90 en discoteca de ambiente mixta con paredes rojas y columnas.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Agua de Luna,Discoteca,"Carrer de Viladomat, 211, L'Eixample, 08029 Barcelona",aguadeluna.com,NO_PHONE,NO_CITY,NOT_FOUND,3.7,21,"Concurrida discoteca de salsa, merengue, bachata y ritmos latinos con rueda cubana, mojitos y clases de baile.",NOT_FOUND
Chica Club Barcelona,Discoteca,"Carrer del Rosselló, 217, Eixample, 08008 Barcelona",chicabcn.cat,699232543,Barcelona,NOT_FOUND,3.0,144,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Moeem Barcelona,Bar gay,"C/ de Muntaner, 11, L'Eixample, 08011 Barcelona",moeembarcelona.com,931275399,Barcelona,Amigable con la comunidad LGTBI+,4.4,453,"Bar gay animado, con DJs que pinchan pop y reguetón, sofás acogedores y una larga lista de bebidas con ginebra.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
La Fira Villarroel,Discoteca,"Carrer de Villarroel, 216, L'Eixample, 08036 Barcelona",lafiravillarroel.com,676828595,Barcelona,Amigable con la comunidad LGTBI+,3.6,1118,"Discoteca vistosa y concurrida con sofás lujosos, mesas que brillan en la oscuridad y bares.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
La Fira Casanova,Discoteca,"Carrer de Casanova, 171, Eixample, 08036 Barcelona",lafiragroup.com,699544530,Barcelona,NOT_FOUND,3.8,702,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
X.O. Lounge Bar,Bar con narguiles,"Carrer de Provença, 93, L'Eixample, 08029 Barcelona",linktr.ee,670684062,Barcelona,Menú,4.9,108,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Believe Club Barcelona,Discoteca,"Carrer de Balmes, 56, L'Eixample, 08011 Barcelona",thebelieve.club,679115105,Barcelona,Menú,3.5,576,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
JazzMan,Club de jazz,"Carrer de Roger de Flor, 238, L'Eixample, 08025 Barcelona",jazzmanbcn.com,667618593,Barcelona,Menú,4.6,731,Licores y combinados en pequeño y acogedor club de jazz de 1979 con dos ambientes y altillo para los músicos.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Arena Experience,Discoteca,"Rda. de Sant Pere, 21, Eixample, 08010 Barcelona",grupoarena.com,934875140,Barcelona,Amigable con la comunidad LGTBI+,3.8,1058,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
LA ROSE SHISHA LOUNGE BAR,Bar con narguiles,"Carrer de Pau Claris, 103, L'Eixample, 08009 Barcelona",generic-function-553546.framer.app,689227607,Barcelona,Amigable con la comunidad LGTBI+,4.7,1023,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Dry Martini Barcelona,Coctelería,"Carrer d'Aribau, 162, 166, Eixample, 08036 Barcelona",drymartiniorg.com,932175072,Barcelona,Menú,4.4,2976,Coctelería de tipo inglés con sillones de piel azul y muebles de madera con combinados clásicos y creativos.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Sweet Drinks,Club,"Carrer de Nàpols, 173, Local 1, Eixample, 08013 Barcelona",instagram.com,631312567,Barcelona,NOT_FOUND,5.0,6,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bonavida Cocktail Bar,Coctelería,"Carrer de Casp, 22, L'Eixample, 08010 Barcelona",bonavidabcn.com,NO_PHONE,NO_CITY,Reservar una mesa,4.4,2163,"Bar moderno y elegante con terraza, una carta de cócteles innovadora y un menú de tapas.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bar Edelweiss,Lounge,"Carrer de Pau Claris, 107, L'Eixample, 08009 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,35,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Solange Cocktails & Luxury Spirits,Coctelería,"Carrer d'Aribau, 143, L'Eixample, 08036 Barcelona",solangecocktail.com,931643625,NO_CITY,Menú,4.5,891,Cócteles sofisticados e innovadores en un bar refinado con temática inspirada en James Bond.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Barcelona NightCard Official Office,Empresa de organización de eventos,"Carrer de Mallorca, 369, L'Eixample, 08013 Barcelona",barcelonanightcard.com,935111127,Barcelona,"Se encuentra en: i-Barcelona Tourist Infopoint & Tickets, locker",3.2,18,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Night Barcelona,Bar gay,"Carrer de la Diputació, 161, L'Eixample, 08015 Barcelona",nightbarcelona.net,935031701,Barcelona,Menú,4.0,397,"Bar gay muy animado, con hora feliz los jueves por la noche, famoso por los cócteles y el cruising.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Eleven Shisha Lounge Barcelona & Cocktails,Bar con narguiles,"Carrer de Còrsega, 257, L'Eixample, 08036 Barcelona",instagram.com,646596048,Barcelona,Menú,4.9,428,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Timba Home,Bar con narguiles,"Carrer de Còrsega, 257, L'Eixample, 08036 Barcelona",instagram.com,646596048,Barcelona,Menú,4.9,428,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
MutiClub,Coctelería,"Carrer de Còrsega, 318, L'Eixample, 08037 Barcelona",instagram.com,933885866,Barcelona,NOT_FOUND,4.4,292,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ocean Barcelona,Discoteca,"Carrer de Balmes, 32, L'Eixample, 08007 Barcelona",oceanbcn.com,937155661,Barcelona,NOT_FOUND,3.7,205,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Plata Cocktail Bar,Coctelería,"Carrer del Consell de Cent, 233, L'Eixample, 08011 Barcelona",platabar.com,934524636,Barcelona,Menú,4.6,1346,Elaboraciones creativas con originales presentaciones en una coctelería con luces de neón y ambiente acogedor.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Nick Havanna,Discoteca,"Carrer del Rosselló, Eixample, 08008 Barcelona",m.facebook.com,658303704,Barcelona,Reclamar esta empresa,3.9,72,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Contraste,Karaoke,"C/ de Muntaner, 130, L'Eixample, 08036 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,2.9,291,"Cócteles, refrescos y combinados en un bar de copas con karaoke, disponible para fiestas y eventos privados.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"